,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,1.333333,1.333333,1.333333,1.333333,0.98681,1200.0
1,2016-01-05,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
2,2016-01-06,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
3,2016-01-07,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
4,2016-01-08,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
5,2016-01-11,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
6,2016-01-12,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
7,2016-01-13,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
8,2016-01-14,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
9,2016-01-15,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
10,2016-01-18,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
11,2016-01-19,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
12,2016-01-20,1.333333,1.333333,1.333333,1.333333,0.98681,300.0
13,2016-01-21,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
14,2016-01-22,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
15,2016-01-26,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
16,2016-01-27,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
17,2016-01-28,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
18,2016-01-29,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
19,2016-02-01,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
20,2016-02-02,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
21,2016-02-03,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
22,2016-02-04,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
23,2016-02-05,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
24,2016-02-10,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
25,2016-02-11,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
26,2016-02-12,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
27,2016-02-15,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
28,2016-02-16,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
29,2016-02-17,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
30,2016-02-18,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
31,2016-02-19,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
32,2016-02-22,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
33,2016-02-23,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
34,2016-02-24,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
35,2016-02-25,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
36,2016-02-26,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
37,2016-02-29,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
38,2016-03-01,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
39,2016-03-02,1.333333,1.333333,1.333333,1.333333,0.98681,0.0
40,2016-03-03,1.06,1.06,1.06,1.06,0.784514,300.0
41,2016-03-04,1.06,1.06,1.06,1.06,0.784514,0.0
42,2016-03-07,1.06,1.06,1.06,1.06,0.784514,0.0
43,2016-03-08,1.06,1.06,1.06,1.06,0.784514,0.0
44,2016-03-09,1.06,1.06,1.06,1.06,0.784514,0.0
45,2016-03-10,1.06,1.06,1.06,1.06,0.784514,0.0
46,2016-03-11,1.06,1.06,1.06,1.06,0.784514,0.0
47,2016-03-14,1.06,1.06,1.06,1.06,0.784514,0.0
48,2016-03-15,1.06,1.06,1.06,1.06,0.784514,0.0
49,2016-03-16,1.06,1.06,1.06,1.06,0.784514,0.0
50,2016-03-17,1.06,1.06,1.06,1.06,0.784514,0.0
51,2016-03-18,1.06,1.06,1.06,1.06,0.784514,0.0
52,2016-03-21,1.06,1.06,1.06,1.06,0.784514,0.0
53,2016-03-22,1.06,1.06,1.06,1.06,0.784514,0.0
54,2016-03-23,1.06,1.06,1.06,1.06,0.784514,0.0
55,2016-03-24,1.06,1.06,1.06,1.06,0.784514,0.0
56,2016-03-28,1.06,1.06,1.06,1.06,0.784514,0.0
57,2016-03-29,1.06,1.06,1.06,1.06,0.784514,0.0
58,2016-03-30,1.06,1.06,1.06,1.06,0.784514,0.0
59,2016-03-31,1.06,1.06,1.06,1.06,0.784514,0.0
60,2016-04-01,1.06,1.06,1.06,1.06,0.784514,0.0
61,2016-04-04,1.06,1.06,1.06,1.06,0.784514,0.0
62,2016-04-05,1.06,1.06,1.06,1.06,0.784514,0.0
63,2016-04-06,1.06,1.06,1.06,1.06,0.784514,0.0
64,2016-04-07,1.06,1.06,1.06,1.06,0.784514,0.0
65,2016-04-08,1.06,1.06,1.06,1.06,0.784514,0.0
66,2016-04-11,1.06,1.06,1.06,1.06,0.784514,0.0
67,2016-04-12,1.06,1.06,1.06,1.06,0.784514,0.0
68,2016-04-13,1.06,1.06,1.06,1.06,0.784514,0.0
69,2016-04-14,1.06,1.06,1.06,1.06,0.784514,0.0
70,2016-04-15,1.06,1.06,1.06,1.06,0.784514,0.0
71,2016-04-18,1.06,1.06,1.06,1.06,0.784514,0.0
72,2016-04-19,1.06,1.06,1.06,1.06,0.784514,0.0
73,2016-04-20,1.06,1.06,1.06,1.06,0.784514,0.0
74,2016-04-22,1.06,1.06,1.06,1.06,0.784514,0.0
75,2016-04-25,1.06,1.06,1.06,1.06,0.784514,0.0
76,2016-04-26,1.06,1.06,1.06,1.06,0.784514,0.0
77,2016-04-27,1.06,1.06,1.06,1.06,0.784514,0.0
78,2016-04-28,1.06,1.06,1.06,1.06,0.784514,0.0
79,2016-04-29,1.06,1.06,1.06,1.06,0.786245,0.0
80,2016-05-02,1.06,1.06,1.06,1.06,0.786245,0.0
81,2016-05-03,1.06,1.06,1.06,1.06,0.786245,0.0
82,2016-05-04,1.06,1.06,1.06,1.06,0.786245,0.0
83,2016-05-05,1.06,1.06,1.06,1.06,0.786245,0.0
84,2016-05-06,1.06,1.06,1.06,1.06,0.786245,0.0
85,2016-05-09,1.06,1.06,1.06,1.06,0.786245,0.0
86,2016-05-10,1.06,1.06,1.06,1.06,0.786245,0.0
87,2016-05-11,1.06,1.06,1.06,1.06,0.786245,0.0
88,2016-05-12,1.06,1.06,1.06,1.06,0.786245,0.0
89,2016-05-13,1.06,1.06,1.06,1.06,0.786245,0.0
90,2016-05-16,1.836666,1.836666,1.836666,1.836666,1.362329,1500.0
91,2016-05-17,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
92,2016-05-18,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
93,2016-05-19,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
94,2016-05-20,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
95,2016-05-23,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
96,2016-05-24,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
97,2016-05-25,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
98,2016-05-27,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
99,2016-05-30,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
100,2016-05-31,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
101,2016-06-01,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
102,2016-06-02,1.836666,1.836666,1.836666,1.836666,1.362329,0.0
